label_is_phish,domain_age_days,tld_risk,url_length,subdomain_depth,brand_lev_distance,ssl_valid,is_http,query_entropy,redirect_count,kw_kyc,kw_verify,kw_bonus,upi_intent_pay,upi_intent_collect,upi_pa_present,upi_am_present,upi_amount,vpa_format_valid,vpa_provider_allow,vpa_entropy,qr_present,qr_param_missing_count,qr_from_shortener
0,1165.6604957053175,0.0,24.0092730655507,3,4.316488251901936,1,0,2.406547432601064,1,0,0,0,0,0,0,0,0.0,1,1,3.194844429556368,0,0,0
0,0.0,0.4282413985092365,9.673100348152602,1,4.308700381399571,1,0,3.951417568579436,2,0,0,0,0,0,0,0,0.0,1,1,3.207813586618978,1,2,1
0,1700.5414349677487,0.2383935987169606,73.30465174417542,3,3.8603024707778792,1,0,2.0723492534227663,2,1,0,0,0,0,0,0,0.0,1,1,1.9616226122569675,0,0,0
1,1928.6776596694567,0.1300181763075192,66.13373131285327,0,6.382709599774325,1,0,5.135089874006139,1,0,0,0,0,0,0,0,0.0,1,1,3.557763963915244,0,0,0
1,0.0,0.1998364976479218,5.0,0,2.226034029868567,1,0,2.9780024520553,0,0,0,0,0,0,1,1,446.5577570215376,1,1,3.175164433968224,1,0,0
0,0.0,0.4573541574082008,7.922615436685618,0,2.2511203424869097,1,0,3.2369593566219765,2,1,0,0,0,0,0,0,0.0,0,1,1.890061681208814,0,0,0
0,953.4084838007424,0.3962481034650146,70.20752606406819,3,1.6819702142456598,1,0,4.759746008688893,1,0,0,0,0,0,0,0,0.0,1,0,1.9130218404777648,0,0,0
0,420.50888918770136,0.2244153083988998,57.11144712751444,1,7.879230213932226,1,0,4.538734411265856,1,1,0,0,0,1,0,0,0.0,1,1,4.033547096983215,0,0,0
0,779.8386109948534,0.022178507186144,43.96273127985052,1,6.0688670179112325,1,0,3.957119325780989,3,1,0,0,0,0,0,0,0.0,1,1,2.880639585460735,0,0,0
1,0.0,0.036291080617672,84.22712269640735,3,1.7932477699206348,1,0,5.638655494929438,1,0,0,0,0,0,0,0,0.0,1,1,3.8088346947857183,0,0,0
0,1855.2775698353944,0.4006060319849324,5.0,2,0.5907621216475794,1,0,3.991565630790863,1,0,0,0,0,1,0,0,0.0,0,1,3.259611017744008,1,0,0
